0, 1635066392141167, 1635066392141632, 465
1, 1635066392159163, 1635066392159248, 85
2, 1635066392172145, 1635066392172218, 73
3, 1635066392185084, 1635066392185156, 72
4, 1635066392198030, 1635066392198099, 69
5, 1635066392210996, 1635066392211067, 71
6, 1635066392223964, 1635066392224031, 67
7, 1635066392236889, 1635066392236957, 68
8, 1635066392249857, 1635066392249922, 65
9, 1635066392262777, 1635066392262842, 65
10, 1635066392276407, 1635066392276478, 71
11, 1635066392290079, 1635066392290145, 66
12, 1635066392303709, 1635066392303774, 65
13, 1635066392316578, 1635066392316643, 65
14, 1635066392329418, 1635066392329487, 69
15, 1635066392343035, 1635066392343101, 66
16, 1635066392356698, 1635066392356765, 67
17, 1635066392370326, 1635066392370391, 65
18, 1635066392383991, 1635066392384058, 67
19, 1635066392397620, 1635066392397686, 66
20, 1635066392411294, 1635066392411360, 66
21, 1635066392424917, 1635066392424982, 65
22, 1635066392438541, 1635066392438610, 69
23, 1635066392452278, 1635066392452348, 70
24, 1635066392465990, 1635066392466058, 68
25, 1635066392479728, 1635066392479795, 67
26, 1635066392493437, 1635066392493504, 67
27, 1635066392507164, 1635066392507230, 66
28, 1635066392520867, 1635066392520932, 65
29, 1635066392534593, 1635066392534662, 69
30, 1635066392548300, 1635066392548367, 67
31, 1635066392562002, 1635066392562070, 68
32, 1635066392575733, 1635066392575799, 66
33, 1635066392589438, 1635066392589503, 65
34, 1635066392603163, 1635066392603229, 66
35, 1635066392616869, 1635066392616935, 66
36, 1635066392630593, 1635066392630658, 65
37, 1635066392644294, 1635066392644360, 66
38, 1635066392658016, 1635066392658082, 66
39, 1635066392671723, 1635066392671789, 66
40, 1635066392685426, 1635066392685492, 66
41, 1635066392699148, 1635066392699214, 66
42, 1635066392712851, 1635066392712919, 68
43, 1635066392726582, 1635066392726648, 66
44, 1635066392739430, 1635066392739493, 63
45, 1635066392753075, 1635066392753140, 65
46, 1635066392766709, 1635066392766777, 68
47, 1635066392780339, 1635066392780402, 63
48, 1635066392793994, 1635066392794059, 65
49, 1635066392807619, 1635066392807727, 108
50, 1635066392821330, 1635066392821397, 67
51, 1635066392834953, 1635066392835020, 67
52, 1635066392848613, 1635066392848679, 66
53, 1635066392862235, 1635066392862299, 64
54, 1635066392875895, 1635066392875958, 63
55, 1635066392889516, 1635066392889581, 65
56, 1635066392903210, 1635066392903276, 66
57, 1635066392916928, 1635066392916994, 66
58, 1635066392930623, 1635066392930690, 67
59, 1635066392944349, 1635066392944417, 68
60, 1635066392958045, 1635066392958108, 63
61, 1635066392971767, 1635066392971831, 64
62, 1635066392985471, 1635066392985536, 65
63, 1635066392999108, 1635066392999173, 65
64, 1635066393012725, 1635066393012789, 64
65, 1635066393026345, 1635066393026410, 65
66, 1635066393040001, 1635066393040065, 64
67, 1635066393053618, 1635066393053690, 72
68, 1635066393066497, 1635066393066566, 69
69, 1635066393079423, 1635066393079490, 67
70, 1635066393092342, 1635066393092408, 66
71, 1635066393105284, 1635066393105350, 66
72, 1635066393118199, 1635066393118264, 65
73, 1635066393131110, 1635066393131177, 67
74, 1635066393144053, 1635066393144119, 66
75, 1635066393156966, 1635066393157031, 65
76, 1635066393169899, 1635066393169964, 65
77, 1635066393182845, 1635066393182949, 104
78, 1635066393195865, 1635066393195936, 71
79, 1635066393208796, 1635066393208864, 68
80, 1635066393221742, 1635066393221809, 67
81, 1635066393234660, 1635066393234732, 72
82, 1635066393247589, 1635066393247658, 69
83, 1635066393260534, 1635066393260601, 67
84, 1635066393273449, 1635066393273515, 66
85, 1635066393286362, 1635066393286428, 66
86, 1635066393299328, 1635066393299393, 65
87, 1635066393312238, 1635066393312304, 66
88, 1635066393325150, 1635066393325228, 78
89, 1635066393338114, 1635066393338178, 64
90, 1635066393351022, 1635066393351090, 68
91, 1635066393363939, 1635066393364004, 65
92, 1635066393376878, 1635066393376942, 64
93, 1635066393389786, 1635066393389849, 63
94, 1635066393402693, 1635066393402758, 65
95, 1635066393418478, 1635066393418548, 70
96, 1635066393434923, 1635066393434992, 69
97, 1635066393448592, 1635066393448660, 68
98, 1635066393462254, 1635066393462324, 70
99, 1635066393476710, 1635066393476775, 65
100, 1635066393491129, 1635066393491196, 67
101, 1635066393505580, 1635066393505682, 102
102, 1635066393519306, 1635066393519375, 69
103, 1635066393532997, 1635066393533065, 68
104, 1635066393546691, 1635066393546757, 66
105, 1635066393561132, 1635066393561197, 65
106, 1635066393575568, 1635066393575636, 68
107, 1635066393589220, 1635066393589285, 65
108, 1635066393603637, 1635066393603705, 68
109, 1635066393617326, 1635066393617392, 66
110, 1635066393631749, 1635066393631818, 69
111, 1635066393646172, 1635066393646240, 68
112, 1635066393659886, 1635066393659952, 66
113, 1635066393673543, 1635066393673608, 65
114, 1635066393687201, 1635066393687267, 66
115, 1635066393700886, 1635066393700949, 63
116, 1635066393715315, 1635066393715381, 66
117, 1635066393729758, 1635066393729824, 66
118, 1635066393743418, 1635066393743488, 70
119, 1635066393757084, 1635066393757152, 68
120, 1635066393770776, 1635066393770841, 65
121, 1635066393784447, 1635066393784512, 65
122, 1635066393798865, 1635066393798932, 67
123, 1635066393813315, 1635066393813380, 65
124, 1635066393827733, 1635066393827800, 67
125, 1635066393841419, 1635066393841488, 69
126, 1635066393855846, 1635066393855912, 66
127, 1635066393870292, 1635066393870358, 66
128, 1635066393884708, 1635066393884772, 64
129, 1635066393899124, 1635066393899197, 73
130, 1635066393913609, 1635066393913674, 65
131, 1635066393928025, 1635066393928093, 68
132, 1635066393941714, 1635066393941779, 65
133, 1635066393956136, 1635066393956204, 68
134, 1635066393970587, 1635066393970655, 68
135, 1635066393984247, 1635066393984314, 67
136, 1635066393998663, 1635066393998727, 64
137, 1635066394013106, 1635066394013172, 66
138, 1635066394026774, 1635066394026839, 65
139, 1635066394040455, 1635066394040521, 66
140, 1635066394054894, 1635066394054966, 72
141, 1635066394069322, 1635066394069387, 65
142, 1635066394083767, 1635066394083833, 66
143, 1635066394097425, 1635066394097492, 67
144, 1635066394111081, 1635066394111197, 116
145, 1635066394127552, 1635066394127620, 68
146, 1635066394141189, 1635066394141266, 77
147, 1635066394154865, 1635066394154929, 64
148, 1635066394168531, 1635066394168598, 67
149, 1635066394182163, 1635066394182227, 64
150, 1635066394195829, 1635066394195894, 65
151, 1635066394209459, 1635066394209528, 69
152, 1635066394223093, 1635066394223191, 98
153, 1635066394236803, 1635066394236868, 65
154, 1635066394250430, 1635066394250495, 65
155, 1635066394264064, 1635066394264131, 67
156, 1635066394277220, 1635066394277285, 65
157, 1635066394290418, 1635066394290483, 65
158, 1635066394303578, 1635066394303642, 64
159, 1635066394316738, 1635066394316804, 66
160, 1635066394330404, 1635066394330467, 63
161, 1635066394343563, 1635066394343627, 64
162, 1635066394356725, 1635066394356871, 146
163, 1635066394370447, 1635066394370589, 142
164, 1635066394384217, 1635066394384363, 146
165, 1635066394397935, 1635066394398077, 142
166, 1635066394411671, 1635066394411812, 141
167, 1635066394425402, 1635066394425541, 139
168, 1635066394439107, 1635066394439246, 139
169, 1635066394452814, 1635066394452953, 139
170, 1635066394466562, 1635066394466705, 143
171, 1635066394480328, 1635066394480469, 141
172, 1635066394494089, 1635066394494228, 139
173, 1635066394507888, 1635066394508027, 139
174, 1635066394521651, 1635066394521789, 138
175, 1635066394535436, 1635066394535572, 136
176, 1635066394549221, 1635066394549361, 140
177, 1635066394562981, 1635066394563121, 140
178, 1635066394576743, 1635066394576884, 141
